iter	Passed	Remaining
0	177	177530
1	179	89438
2	180	60061
3	181	45312
4	183	36451
5	184	30565
6	185	26350
7	186	23185
8	188	20736
9	189	18776
10	190	17161
11	192	15822
12	193	14680
13	194	13715
14	196	12879
15	197	12132
16	198	11478
17	199	10892
18	200	10374
19	202	9898
20	203	9470
21	204	9089
22	205	8742
23	207	8421
24	208	8128
25	209	7858
26	211	7605
27	212	7370
28	213	7154
29	214	6950
30	216	6759
31	217	6581
32	218	6412
33	220	6253
34	221	6105
35	222	5964
36	224	5830
37	225	5705
38	226	5587
39	228	5472
40	229	5362
41	230	5261
42	232	5163
43	233	5071
44	234	4979
45	235	4892
46	237	4807
47	238	4730
48	239	4653
49	241	4580
50	242	4508
51	243	4440
52	244	4374
53	246	4311
54	247	4251
55	248	4191
56	249	4133
57	251	4079
58	252	4025
59	253	3972
60	254	3922
61	256	3874
62	257	3827
63	258	3781
64	259	3738
65	261	3695
66	262	3653
67	263	3613
68	264	3573
69	266	3535
70	267	3497
71	268	3459
72	269	3423
73	270	3389
74	272	3355
75	273	3322
76	274	3290
77	275	3258
78	276	3227
79	278	3197
80	279	3167
81	280	3139
82	281	3104
83	282	3077
84	283	3050
85	284	3025
86	285	3000
87	287	2976
88	288	2952
89	289	2928
90	290	2905
91	292	2883
92	293	2861
93	294	2839
94	295	2819
95	297	2798
96	298	2777
97	299	2756
98	300	2735
99	301	2714
100	302	2694
101	303	2675
102	305	2656
103	306	2638
104	307	2620
105	308	2602
106	309	2586
107	311	2569
108	312	2553
109	313	2538
110	314	2522
111	316	2506
112	317	2490
113	318	2475
114	319	2460
115	320	2445
116	321	2429
117	323	2415
118	324	2400
119	325	2386
120	326	2372
121	327	2357
122	328	2344
123	330	2331
124	331	2318
125	332	2305
126	333	2292
127	334	2279
128	335	2267
129	337	2256
130	338	2244
131	339	2232
132	340	2221
133	341	2209
134	343	2198
135	344	2187
136	345	2176
137	346	2166
138	347	2155
139	349	2145
140	350	2135
141	351	2122
142	352	2112
143	353	2102
144	354	2091
145	356	2082
146	357	2072
147	358	2062
148	359	2053
149	360	2044
150	361	2034
151	363	2025
152	364	2016
153	365	2007
154	366	1998
155	367	1989
156	368	1980
157	370	1972
158	371	1964
159	372	1957
160	373	1947
161	375	1944
162	377	1940
163	379	1935
164	381	1930
165	383	1928
166	385	1925
167	389	1926
168	391	1925
169	393	1922
170	396	1919
171	398	1916
172	400	1912
173	402	1909
174	405	1909
175	406	1904
176	408	1901
177	411	1898
178	413	1894
179	415	1891
180	421	1907
181	423	1904
182	426	1902
183	428	1900
184	430	1895
185	433	1898
186	437	1900
187	441	1904
188	443	1902
189	445	1898
190	447	1893
191	448	1889
192	450	1884
193	454	1886
194	456	1883
195	458	1880
196	460	1877
197	462	1872
198	464	1868
199	466	1865
200	468	1863
201	470	1858
202	472	1854
203	476	1857
204	477	1853
205	480	1852
206	483	1852
207	486	1851
208	488	1848
209	490	1846
210	494	1848
211	496	1844
212	498	1840
213	499	1835
214	501	1830
215	502	1825
216	504	1821
217	506	1818
218	508	1813
219	510	1808
220	511	1803
221	513	1800
222	517	1802
223	520	1802
224	521	1797
225	523	1792
226	525	1788
227	526	1783
228	528	1778
229	530	1775
230	531	1770
231	533	1764
232	534	1760
233	536	1755
234	537	1750
235	539	1745
236	540	1740
237	542	1738
238	544	1733
239	545	1728
240	547	1723
241	549	1720
242	551	1717
243	552	1712
244	554	1707
245	555	1703
246	558	1701
247	562	1705
248	563	1700
249	565	1697
250	567	1692
251	568	1687
252	569	1682
253	571	1677
254	572	1672
255	573	1667
256	574	1662
257	576	1656
258	577	1651
259	578	1646
260	579	1641
261	581	1636
262	582	1632
263	583	1627
264	585	1622
265	586	1617
266	587	1612
267	588	1608
268	590	1604
269	591	1599
270	592	1594
271	594	1589
272	595	1585
273	596	1580
274	597	1575
275	598	1570
276	599	1565
277	601	1560
278	602	1557
279	604	1553
280	605	1548
281	606	1544
282	607	1539
283	608	1535
284	610	1530
285	611	1526
286	612	1521
287	613	1517
288	615	1513
289	616	1510
290	618	1505
291	619	1501
292	620	1496
293	621	1492
294	622	1488
295	624	1484
296	625	1479
297	626	1475
298	627	1471
299	628	1467
300	630	1463
301	631	1459
302	632	1455
303	634	1451
304	635	1447
305	636	1443
306	639	1443
307	640	1439
308	641	1435
309	643	1431
310	644	1427
311	645	1423
312	646	1419
313	647	1415
314	649	1411
315	650	1407
316	651	1403
317	652	1399
318	653	1395
319	655	1392
320	656	1388
321	657	1384
322	658	1380
323	659	1376
324	661	1373
325	662	1369
326	663	1365
327	664	1361
328	665	1357
329	666	1353
330	668	1350
331	669	1346
332	670	1343
333	671	1339
334	672	1335
335	674	1332
336	675	1328
337	676	1324
338	677	1321
339	678	1317
340	679	1314
341	681	1310
342	682	1307
343	683	1303
344	684	1300
345	685	1296
346	687	1293
347	688	1289
348	689	1286
349	690	1282
350	691	1279
351	693	1275
352	694	1272
353	695	1269
354	696	1265
355	697	1262
356	699	1259
357	700	1256
358	701	1252
359	702	1249
360	703	1245
361	705	1242
362	706	1239
363	707	1235
364	708	1232
365	709	1229
366	710	1226
367	712	1223
368	713	1219
369	714	1216
370	715	1213
371	717	1210
372	718	1207
373	719	1204
374	720	1200
375	721	1197
376	722	1194
377	723	1191
378	725	1187
379	726	1184
380	727	1181
381	728	1178
382	729	1175
383	730	1172
384	731	1169
385	733	1166
386	734	1163
387	735	1160
388	736	1156
389	737	1153
390	738	1150
391	740	1147
392	741	1144
393	742	1141
394	743	1139
395	744	1136
396	745	1133
397	747	1130
398	748	1127
399	749	1124
400	750	1121
401	751	1118
402	753	1115
403	754	1112
404	755	1109
405	756	1106
406	757	1104
407	758	1101
408	760	1098
409	761	1095
410	762	1092
411	763	1090
412	764	1087
413	766	1084
414	767	1081
415	768	1078
416	769	1075
417	770	1073
418	772	1070
419	773	1067
420	774	1065
421	775	1062
422	776	1059
423	778	1057
424	779	1054
425	780	1051
426	781	1048
427	782	1046
428	783	1043
429	785	1040
430	786	1038
431	787	1035
432	788	1032
433	789	1030
434	791	1027
435	792	1024
436	793	1022
437	794	1019
438	795	1016
439	796	1014
440	798	1011
441	799	1008
442	800	1006
443	801	1003
444	802	1001
445	804	998
446	805	996
447	806	993
448	807	991
449	808	988
450	809	985
451	811	983
452	812	980
453	813	978
454	814	975
455	815	973
456	817	970
457	818	968
458	819	965
459	820	963
460	822	961
461	823	958
462	824	956
463	825	953
464	826	951
465	828	948
466	829	946
467	830	944
468	832	942
469	834	940
470	837	940
471	838	938
472	840	936
473	842	934
474	843	932
475	845	930
476	846	928
477	848	926
478	849	923
479	850	921
480	851	919
481	853	917
482	855	915
483	856	913
484	858	911
485	860	909
486	861	907
487	863	905
488	864	903
489	867	902
490	869	900
491	870	899
492	872	897
493	874	895
494	876	894
495	877	892
496	879	890
497	881	888
498	883	887
499	885	885
500	887	884
501	889	882
502	891	880
503	892	878
504	894	876
505	896	875
506	898	873
507	900	872
508	902	870
509	903	868
510	905	866
511	907	865
512	909	863
513	911	861
514	912	859
515	914	857
516	916	856
517	918	854
518	919	852
519	921	850
520	923	848
521	924	846
522	927	845
523	928	843
524	930	841
525	931	839
526	933	837
527	935	836
528	937	834
529	938	832
530	940	830
531	942	829
532	944	827
533	946	825
534	948	824
535	950	822
536	952	820
537	953	819
538	956	817
539	959	817
540	962	816
541	965	815
542	967	814
543	970	813
544	972	811
545	975	810
546	978	810
547	980	808
548	982	806
549	985	806
550	987	804
551	989	803
552	991	801
553	993	799
554	995	798
555	997	796
556	998	794
557	1001	792
558	1002	791
559	1004	789
560	1006	787
561	1007	785
562	1009	783
563	1011	781
564	1012	779
565	1014	778
566	1017	776
567	1018	775
568	1020	773
569	1022	771
570	1023	769
571	1025	767
572	1027	765
573	1028	763
574	1030	761
575	1032	760
576	1034	758
577	1036	756
578	1037	754
579	1039	752
580	1040	750
581	1041	747
582	1042	745
583	1044	744
584	1047	742
585	1049	741
586	1050	739
587	1052	737
588	1054	736
589	1056	734
590	1058	732
591	1060	730
592	1063	729
593	1065	727
594	1067	726
595	1069	725
596	1071	723
597	1073	721
598	1074	719
599	1077	718
600	1080	717
601	1082	715
602	1084	713
603	1086	712
604	1087	710
605	1090	708
606	1092	707
607	1094	705
608	1097	704
609	1099	703
610	1102	701
611	1105	700
612	1107	699
613	1109	697
614	1112	696
615	1115	695
616	1117	693
617	1119	691
618	1120	689
619	1122	688
620	1125	686
621	1127	685
622	1128	683
623	1131	681
624	1133	679
625	1135	678
626	1136	676
627	1138	674
628	1141	673
629	1144	671
630	1146	670
631	1149	669
632	1151	667
633	1154	666
634	1157	665
635	1159	663
636	1161	661
637	1163	660
638	1166	659
639	1170	658
640	1172	656
641	1175	655
642	1178	654
643	1180	652
644	1184	652
645	1187	650
646	1191	649
647	1193	648
648	1195	646
649	1197	645
650	1200	643
651	1203	642
652	1205	640
653	1211	640
654	1213	639
655	1216	637
656	1219	636
657	1221	635
658	1224	633
659	1225	631
660	1228	629
661	1231	628
662	1233	627
663	1235	625
664	1237	623
665	1239	621
666	1241	619
667	1243	618
668	1246	616
669	1248	614
670	1250	613
671	1251	611
672	1254	609
673	1257	608
674	1259	606
675	1262	604
676	1265	603
677	1268	602
678	1271	601
679	1273	599
680	1276	598
681	1278	596
682	1280	594
683	1282	592
684	1284	590
685	1287	589
686	1289	587
687	1292	586
688	1294	584
689	1296	582
690	1298	580
691	1300	578
692	1301	576
693	1303	574
694	1306	573
695	1307	571
696	1309	569
697	1311	567
698	1313	565
699	1314	563
700	1316	561
701	1317	559
702	1320	557
703	1322	555
704	1323	553
705	1325	551
706	1326	549
707	1328	547
708	1329	545
709	1331	543
710	1333	541
711	1335	540
712	1337	538
713	1338	536
714	1340	534
715	1341	532
716	1343	530
717	1345	528
718	1347	526
719	1348	524
720	1351	522
721	1353	521
722	1355	519
723	1357	517
724	1359	515
725	1361	513
726	1362	511
727	1364	509
728	1367	508
729	1369	506
730	1370	504
731	1372	502
732	1373	500
733	1375	498
734	1376	496
735	1378	494
736	1380	492
737	1382	490
738	1384	488
739	1385	486
740	1387	484
741	1388	482
742	1390	480
743	1392	478
744	1393	477
745	1395	475
746	1397	473
747	1399	471
748	1401	469
749	1402	467
750	1404	465
751	1405	463
752	1407	461
753	1409	459
754	1411	457
755	1412	456
756	1414	454
757	1416	452
758	1418	450
759	1419	448
760	1421	446
761	1422	444
762	1424	442
763	1426	440
764	1428	438
765	1430	436
766	1431	434
767	1433	433
768	1435	431
769	1436	429
770	1438	427
771	1440	425
772	1441	423
773	1444	421
774	1445	419
775	1447	417
776	1449	415
777	1450	413
778	1452	412
779	1454	410
780	1456	408
781	1458	406
782	1461	405
783	1464	403
784	1466	401
785	1467	399
786	1469	397
787	1471	395
788	1472	393
789	1474	392
790	1476	390
791	1478	388
792	1480	386
793	1481	384
794	1483	382
795	1485	380
796	1486	378
797	1489	376
798	1491	375
799	1492	373
800	1494	371
801	1496	369
802	1497	367
803	1499	365
804	1501	363
805	1503	361
806	1505	359
807	1507	358
808	1509	356
809	1511	354
810	1512	352
811	1514	350
812	1515	348
813	1518	346
814	1520	345
815	1521	343
816	1523	341
817	1524	339
818	1526	337
819	1528	335
820	1530	333
821	1531	331
822	1533	329
823	1535	327
824	1537	326
825	1538	324
826	1540	322
827	1542	320
828	1544	318
829	1545	316
830	1547	314
831	1549	312
832	1551	311
833	1553	309
834	1556	307
835	1558	305
836	1560	303
837	1562	302
838	1565	300
839	1567	298
840	1569	296
841	1571	294
842	1573	293
843	1576	291
844	1578	289
845	1581	287
846	1582	285
847	1584	284
848	1587	282
849	1589	280
850	1591	278
851	1593	276
852	1596	275
853	1598	273
854	1600	271
855	1601	269
856	1603	267
857	1605	265
858	1606	263
859	1608	261
860	1610	259
861	1611	258
862	1613	256
863	1615	254
864	1617	252
865	1618	250
866	1620	248
867	1622	246
868	1623	244
869	1626	242
870	1627	241
871	1629	239
872	1631	237
873	1632	235
874	1634	233
875	1636	231
876	1638	229
877	1640	227
878	1643	226
879	1645	224
880	1646	222
881	1648	220
882	1650	218
883	1652	216
884	1653	214
885	1655	213
886	1657	211
887	1659	209
888	1661	207
889	1663	205
890	1665	203
891	1666	201
892	1668	199
893	1670	198
894	1672	196
895	1674	194
896	1675	192
897	1677	190
898	1679	188
899	1681	186
900	1682	184
901	1684	182
902	1686	181
903	1688	179
904	1689	177
905	1691	175
906	1693	173
907	1695	171
908	1696	169
909	1698	167
910	1700	166
911	1702	164
912	1704	162
913	1706	160
914	1708	158
915	1709	156
916	1711	154
917	1712	153
918	1714	151
919	1716	149
920	1718	147
921	1720	145
922	1721	143
923	1723	141
924	1725	139
925	1726	137
926	1728	136
927	1730	134
928	1732	132
929	1734	130
930	1736	128
931	1737	126
932	1739	124
933	1741	123
934	1742	121
935	1744	119
936	1746	117
937	1748	115
938	1751	113
939	1754	111
940	1756	110
941	1758	108
942	1759	106
943	1761	104
944	1764	102
945	1765	100
946	1767	98
947	1769	97
948	1771	95
949	1773	93
950	1774	91
951	1776	89
952	1778	87
953	1780	85
954	1782	84
955	1784	82
956	1786	80
957	1788	78
958	1789	76
959	1791	74
960	1793	72
961	1795	70
962	1796	69
963	1798	67
964	1800	65
965	1801	63
966	1803	61
967	1805	59
968	1806	57
969	1809	55
970	1811	54
971	1812	52
972	1814	50
973	1816	48
974	1817	46
975	1819	44
976	1821	42
977	1823	41
978	1825	39
979	1827	37
980	1829	35
981	1830	33
982	1832	31
983	1833	29
984	1835	27
985	1837	26
986	1840	24
987	1842	22
988	1844	20
989	1846	18
990	1847	16
991	1849	14
992	1850	13
993	1852	11
994	1856	9
995	1857	7
996	1859	5
997	1860	3
998	1862	1
999	1864	0
